date,prod
2017-01-28,99.45
2017-01-29,99.45
2017-01-30,99.18
2017-01-31,99.72
2017-02-01,99.63
2017-02-02,99.54
2017-02-03,99.45
2017-02-04,99.45
2017-02-05,101.16
2017-02-06,101.52
2017-02-07,99.45
2017-02-08,101.43
2017-02-09,100.26
2017-02-10,100.98
2017-02-11,100.71
2017-02-12,100.8
2017-02-13,101.16
2017-02-14,100.89
2017-02-15,101.52
2017-02-16,100.98
2017-02-17,100.98
2017-02-18,99.81
2017-02-19,100.98
2017-02-20,100.71
2017-02-21,100.44
2017-02-22,100.17
2017-02-23,97.2
2017-02-24,96.39
2017-02-25,97.29
2017-02-26,97.11
2017-02-27,97.47
2017-02-28,97.56
2017-03-01,97.65
2017-03-02,97.74
2017-03-03,97.92
